web-scraper-order,web-scraper-start-url,Pagination,Link,Link-href,Brand,Model,Price,Mileage,transmission,Buildyear,fuel type,power,seller,condition,doors,chairs,driveline,apk
"1654878735-343","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=7","Audi S8 V10, Quatro 5,2CD, Airbag passagier, Schakelflippers, Binnenspiegel automatisch dimmend, Armsteun, Voorruitverwarming, Standkachel, Lichtsensor","https://www.autoscout24.nl/aanbod/audi-s8-v10-quatro-5-2-benzine-wit-761ea741-48dd-4a44-a931-e53470742ffa","Audi","S8","€ 18.950,-","308.000 km","Automatisch","02/2008","Benzine","331 kW (450 PK)","Particulier","Gebruikt","4","4","4x4","null"
"1654880835-535","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=16","Audi A6 Avant 4.0 TFSI RS 6 quattro - origineel ABT 704 pkSportstoelen, Panorama dak, Zij-airbags, Airbag passagier, Sportonderstel, Elektrische achterklep, Getinte ramen, ABS","https://www.autoscout24.nl/aanbod/audi-a6-avant-4-0-tfsi-rs-6-quattro-origineel-abt-704-pk-benzine-grijs-76d3d95c-5b25-44ea-af35-411b23e2533b","Audi","A6","€ 81.330,-","90.717 km","Automatisch","01/2015","Benzine","518 kW (704 PK)","Autobedrijf","Gebruikt","5","5","4x4","Nieuw"
"1654877792-257","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=2","Ford Sierra 2.0 Cosworth 300PK 2WD - RACE AUTO - CIRCUIT - DNR","https://www.autoscout24.nl/aanbod/ford-sierra-2-0-cosworth-300pk-2wd-race-auto-circuit-dnr-benzine-wit-7c609b19-e3f2-4ae5-909f-7bff956679e9","Ford","Sierra","€ 27.500,-","25.000 km","Handgeschakeld","06/1988","Benzine","221 kW (300 PK)","Autobedrijf","Oldtimer","4","null","Achter","null"
"1654880259-483","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=14","Porsche Panamera 3.0Elektrische achterklep, Panorama dak, LED verlichting, Climate Control, Navigatiesysteem, Airbag passagier, Binnenspiegel automatisch dimmend, Luchtvering","https://www.autoscout24.nl/aanbod/porsche-panamera-3-0-benzine-zwart-ebca4be1-0392-459e-bdac-48b2ea684ce3","Porsche","Panamera","€ 86.750,-","50.012 km","Automatisch","07/2017","Benzine","243 kW (330 PK)","Autobedrijf","Gebruikt","5","4","Achter","Nieuw"
"1654880570-512","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=15","DS Automobiles DS 9 E-TENSE 225 EAT8 PERFORMANCE LINE+ NAVI-CLIMA-PDC","https://www.autoscout24.nl/aanbod/ds-automobiles-ds-9-e-tense-225-eat8-performance-line-navi-clima-pdc-elektro-benzine-7f5c89fb-0e50-451d-95e5-ced8062dfaf0","DS Automobiles","DS 9","€ 66.950,-1","11 km","Automatisch","01/2022","Elektro/Benzine","165 kW (224 PK)","Autobedrijf","Nieuw en op kenteken","4","5","Voor","null"
"1654878185-293","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=4","Mercedes-Benz AMG GT 53 4MATIC - Matt Black l Pano l Soft-close l HUD l","https://www.autoscout24.nl/aanbod/mercedes-benz-amg-gt-53-4matic-matt-black-l-pano-l-soft-close-l-hud-l-benzine-zwart-bff7e061-c00a-42bd-9067-f4da9680ac80","Mercedes-Benz","AMG GT","€ 113.995,-","45.769 km","Automatisch","01/2019","Benzine","321 kW (436 PK)","Autobedrijf","Gebruikt","5","4","4x4","null"
"1654877729-251","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=2","Mercedes-Benz CLS 63 AMG S 4MATIC Designo - Exclusive Pakket","https://www.autoscout24.nl/aanbod/mercedes-benz-cls-63-amg-s-4matic-designo-exclusive-pakket-benzine-grijs-df4f6210-8984-4101-af72-a2c3f78dce3c","Mercedes-Benz","CLS 63 AMG","€ 69.950,-","89.998 km","Automatisch","07/2015","Benzine","430 kW (585 PK)","Autobedrijf","Gebruikt","4","5","4x4","Nieuw"
"1654879129-379","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=9","Audi RS5 Coupé 2.9 TFSI RS 5 quattro Laser LED | PanoramadaPanorama dak, LED verlichting, Head-up display, 4x4, Alarm, Grootlichtassistent, Airconditioning, Stoelverwarming","https://www.autoscout24.nl/aanbod/audi-rs5-coupe-2-9-tfsi-rs-5-quattro-laser-led-panoramada-benzine-zwart-27e23e4a-779f-4fe6-8236-b2c1ce7c056b","Audi","RS5","€ 93.450,-1","69.474 km","Automatisch","02/2020","Benzine","332 kW (451 PK)","Autobedrijf","Gebruikt","2","4","4x4","null"
"1654879534-417","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=10","McLaren 765LT *Bowers&Wilkins*Track Telementry*","https://www.autoscout24.nl/aanbod/mclaren-others-765lt-bowers-wilkins-track-telementry-benzine-zwart-4de5e87f-e0c6-4e9e-915c-b62d0dc989c0","McLaren","","€ 499.950,-1","2.199 km","Automatisch","02/2021","Benzine","563 kW (765 PK)","Autobedrijf","Gebruikt","2","2","Achter","Nieuw"
"1654878341-307","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=1","https://www.autoscout24.nl/lst?sort=standard&desc=0&ustate=N%2CU&atype=C&cy=NL&search_id=15gb7hvjo9k&page=5","Mercedes-Benz A 45 AMG 4MATIC A45 2016 | Dealeronderhouden | Automaat | SKeyless Entry, Panorama dak, 4x4, Traction Control, Airbag bestuurder, Cruise Control, Multifunctioneel stuurwiel, Xenon verlichting","https://www.autoscout24.nl/aanbod/mercedes-benz-a-45-amg-4matic-a45-2016-dealeronderhouden-automaat-s-benzine-wit-1fbe26fb-aa9e-4fb6-9edd-1c03ad7fb7bb","Mercedes-Benz","A 45 AMG","€ 34.999,-","97.563 km","Automatisch","01/2016","Benzine","280 kW (381 PK)","Autobedrijf","Gebruikt","5","5","4x4","01/2024"
